word,frequency
hi(n;;bar)s,1
galli,1
{slong}n(er;;er)i{ezh}t,1
v(er;;er)alld(ar;;ar)in(n;;nleg)(ar;;ar),1
þ(e;;bar)tta,1
ott(a{ezh}t;;zsup),1
aka{fins}liga,1
kalla,1
hatt,1
heilug,1
hialp,1
þu,1
m(æ;;bar)ltu,1
kollud(ut;;tsup),1
Mariam,1
he{fins}du(m;;bar),1
ætlat,1
{slong}lita,1
kuika,1
{slong}und(ur;;ur),1
d{rrot}eckia,1
yd(ur;;ur),1
{slong}id(an;;nsup),1
{fins}undu(m;;bar),1
{fins}(ar;;ar)andi,1
lau{slong}ung,1
ti(m;;bar)a,1
{slong}kip(ad;;dsup),1
Munk(ar;;ar)n(er;;er),1
þacka,1
myskun(n;;bar),1
{fins}(ar;;ar)a,1
klaust(ur;;ur){slong}ins,1
{slong}kunda,1
Illu(ir;;er)ki(ar;;er),1
leid{rrot}ettu{ezh}t,1
HEilag(ur;;ur),1
clugiacen{slong}is,1
{rscap}ei{slong}ti,1
m(or;;osup)g,1
heid(ur;;ur)s,1
el{slong}kadi,1
vo(ra;;ra),1
G(uds;;usmod)mod(ur;;ur),1
mariam,1
{slong}tundadi,1
olmu{slong}ug(er;;er)d,1
mædandi,1
likam,1
meinlætu(m;;bar),1
g(u;d;combcurl)s,1
{slong}ak(ir;;er),1
heilag(ri;;isup),1
A,1
{rscap}oms,1
{slong}nem(m;;bar)a,1
vegin(n;;bar),1
le{slong}andi,1
{slong}in(ar;;ar),1
tid(ir;;er),1
b{rrot},1
æd{rrot}unu(m;;bar),1
{fins}ylgdu,1
ko(m;;bar)a,1
m(ar;;ar)g(ir;;er),1
{slong}ty{rrot}k(ir;;er),1
illuirki(ar;;ar),1
g(ri;;isup)pu,1
{rscap}æna,1
{fins}(oru;;osup),1
allu(m;;bar),1
{fins}lutt,1
ko{slong}t(ar;;ar),1
{fins}(er;;er)din(n;;bar)i,1
{slong}etia,1
gey(m;;bar){slong}lu,1
ein(n;;bar){slong}am(an;;nsup),1
þott,1
þyldi,1
m(ik;;csup)la,1
þuing(an;;nsup),1
ouinu(m;;bar),1
let,1
G(uds;;usmod)lo{fins}i,1
marie,1
helld(ur;;ur),1
elldi,1
þ(es;;bar)sa{rscap}(ar;;ar),1
eit(ar;;ar)i,1
g(u;d;combcurl)lig(ri;;isup),1
